"COMIDv2_JR","lat","lon","samp_year","STATE_AB","obs_spec","HU4_ZoneID","HU8_ZoneID","HU12_ZoneID","exp_rich","StreamOrde","order_class","samp_length","width.x","width.y","width","area"
2268557,45.83670993,-92.03393977,2002,"WI",18,"HU4_29","HU8_144","HU12_11417",25.956,3,"MID",NA,NA,13.44,13.44,NA
2453132,44.0037052,-90.7221787,2003,"WI",8,"HU4_55","HU8_376","HU12_19670",8.989,4,"MID",288,8,NA,8,0.002304
2732010,44.4977082,-91.3012305,2001,"WI",2,"HU4_55","HU8_377","HU12_10318",2,2,"HW",28,NA,NA,NA,NA
6818620,45.06374518,-87.98868898,2004,"WI",17,"HU4_32","HU8_168","HU12_13291",19.246,3,"MID",268,NA,9.13,9.13,0.00244684
6866155,43.94960267,-88.70701669,2002,"WI",10,"HU4_32","HU8_169","HU12_12126",10,3,"MID",NA,NA,4.79,4.79,NA
9029397,45.4777992,-89.00254337,2002,"WI",10,"HU4_32","HU8_170","HU12_13190",14.494,3,"MID",NA,NA,22.41,22.41,NA
9036329,44.4918782,-89.14524651,2001,"WI",12,"HU4_32","HU8_170","HU12_11802",12.25,3,"MID",406,NA,13.46,13.46,0.00546476
12004537,44.50743704,-87.95478624,2001,"WI",12,"HU4_32","HU8_172","HU12_11862",12.996,2,"HW",369,NA,NA,NA,NA
12162024,43.66297257,-88.01075108,2001,"WI",11,"HU4_35","HU8_173","HU12_11884",20.913,1,"HW",129,NA,NA,NA,NA
12162044,43.62156104,-88.20183771,2001,"WI",15,"HU4_35","HU8_173","HU12_11894",15.498,1,"HW",119,NA,NA,NA,NA
12162114,43.54164734,-88.00487662,2002,"WI",10,"HU4_35","HU8_173","HU12_11887",10,2,"HW",100,NA,NA,NA,NA
12163422,43.49672795,-88.0916224,2001,"WI",17,"HU4_35","HU8_173","HU12_11889",24.993,2,"HW",170,NA,NA,NA,NA
12173442,44.2816688,-87.66334311,2001,"WI",23,"HU4_32","HU8_164","HU12_11732",23,3,"MID",91,NA,15.33,15.33,0.00139503
13082035,45.49223276,-91.62964021,2004,"WI",8,"HU4_27","HU8_370","HU12_11462",8.495,1,"HW",152,4.4,NA,4.4,0.0006688
13083145,45.00052881,-91.72523191,2001,"WI",8,"HU4_27","HU8_370","HU12_11490",8.497,3,"MID",144,NA,2.85,2.85,0.0004104
13085997,44.8483573,-92.00709853,2004,"WI",4,"HU4_27","HU8_370","HU12_19685",4,2,"HW",125,3.57,NA,3.57,0.00044625
13103289,45.19043353,-90.95335277,2001,"WI",13,"HU4_27","HU8_369","HU12_11264",13.987,1,"HW",100,NA,NA,NA,NA
13103041,45.11620912,-90.96139516,2001,"WI",16,"HU4_27","HU8_369","HU12_11261",18.978,2,"HW",248,NA,NA,NA,NA
13103045,45.08521675,-90.98493644,2001,"WI",10,"HU4_27","HU8_369","HU12_11264",14.461,1,"HW",164,NA,NA,NA,NA
13105947,44.99875999,-91.18157431,2001,"WI",17,"HU4_27","HU8_369","HU12_11263",20.991,3,"MID",127,NA,3.68,3.68,0.00046736
13104623,45.01333524,-91.1740071,2001,"WI",21,"HU4_27","HU8_369","HU12_11263",21.25,3,"MID",315,NA,9.33,9.33,0.00293895
13104625,45.00023712,-91.2369934,2001,"WI",20,"HU4_27","HU8_369","HU12_11262",21.995,2,"HW",240,NA,NA,NA,NA
13104627,45.00226382,-91.24482641,2001,"WI",12,"HU4_27","HU8_369","HU12_11262",12,1,"HW",100,NA,NA,NA,NA
13136821,44.19529641,-90.79808468,2001,"WI",7,"HU4_55","HU8_378","HU12_19683",7,4,"MID",158,NA,19.36,19.36,0.00305888
13139505,44.00181582,-91.037228,2001,"WI",6,"HU4_55","HU8_378","HU12_10357",6,2,"HW",300,NA,NA,NA,NA
13140641,43.99913103,-91.05623469,2001,"WI",6,"HU4_55","HU8_378","HU12_10357",6.495,2,"HW",300,NA,NA,NA,NA
13139511,44.01446667,-91.10221013,2001,"WI",7,"HU4_55","HU8_378","HU12_10357",8.964,2,"HW",300,NA,NA,NA,NA
13209848,43.49135591,-91.00305296,2003,"WI",7,"HU4_59","HU8_371","HU12_10366",7.498,3,"MID",142,4,NA,4,0.000568
13211792,43.31502547,-91.0001277,2001,"WI",4,"HU4_59","HU8_371","HU12_10375",4.997,3,"MID",270,NA,6.99,6.99,0.0018873
13282922,43.44847446,-88.84049964,2001,"WI",12,"HU4_34","HU8_177","HU12_11963",14.985,4,"MID",NA,NA,13.56,13.56,NA
13283262,43.18344826,-88.99140691,2001,"WI",22,"HU4_34","HU8_177","HU12_11955",22,4,"MID",83,NA,10.99,10.99,0.00091217
13289886,43.50335954,-88.3405285,2002,"WI",10,"HU4_34","HU8_177","HU12_11917",10.498,2,"HW",122,NA,NA,NA,NA
13297098,42.99871071,-89.35719447,2004,"WI",6,"HU4_34","HU8_186","HU12_12001",6.494,2,"HW",110,2.4,NA,2.4,0.000264
13395955,45.50777581,-89.51923787,2004,"WI",9,"HU4_33","HU8_161","HU12_13415",9.664,2,"HW",100,2.05,NA,2.05,0.000205
13395953,45.5003364,-89.56078017,2004,"WI",13,"HU4_33","HU8_161","HU12_13415",13,1,"HW",100,1.72,NA,1.72,0.000172
13411732,42.90156459,-90.01089012,2001,"WI",14,"HU4_34","HU8_391","HU12_12044",16.24,3,"MID",NA,NA,5.51,5.51,NA
13410338,42.74498188,-89.73921156,2002,"WI",6,"HU4_34","HU8_391","HU12_12056",6,1,"HW",97,NA,NA,NA,NA
13410136,42.82519169,-89.84993245,2002,"WI",2,"HU4_34","HU8_391","HU12_12047",2,2,"HW",91,NA,NA,NA,NA
13412956,42.93535736,-90.0001239,2003,"WI",6,"HU4_34","HU8_391","HU12_12043",6,2,"HW",108,3,NA,3,0.000324
13418864,42.49989192,-89.11901844,2004,"WI",21,"HU4_34","HU8_391","HU12_19175",21.666,3,"MID",231,NA,3.23,3.23,0.00074613
