"COMIDv2_JR","LAT_DD","LON_DD","samp_year","samp_length","width","common_name","scientific_name","ind_count","STATE","SPP_CODE_new","obs_spec","slope","exp_rich","shannon","HU4_ZoneID","HUC4","HU8_ZoneID","HU12_ZoneID","StreamOrde","LENGTHKM","CLASS"
2113978,44.56634532,-91.55675436,2001,44,NA,"brown trout","Salmo trutta",2,"WI","BROWN_TROUT",9,0.001,9,5.446,"HU4_55","0704","HU8_375","HU12_10296",2,1.818,"HW_stream"
2113978,44.56634532,-91.55675436,2001,44,NA,"brook trout","Salvelinus fontinalis",20,"WI","BROOK_TROUT",9,0.001,9,5.446,"HU4_55","0704","HU8_375","HU12_10296",2,1.818,"HW_stream"
2113978,44.56634532,-91.55675436,2001,44,NA,"creek chub","Semotilus atromaculatus",22,"WI","CREEK_CHUB",9,0.001,9,5.446,"HU4_55","0704","HU8_375","HU12_10296",2,1.818,"HW_stream"
2116498,44.4560087,-91.57937759,2001,53,NA,"white sucker","Catostomus commersonii",56,"WI","WHITE_SUCKER",10,0.001,10,5.834,"HU4_55","0704","HU8_375","HU12_10297",2,1.002,"HW_stream"
2116498,44.4560087,-91.57937759,2001,53,NA,"brook stickleback","Culaea inconstans",2,"WI","BROOK_STICKLEBACK",10,0.001,10,5.834,"HU4_55","0704","HU8_375","HU12_10297",2,1.002,"HW_stream"
2116498,44.4560087,-91.57937759,2001,53,NA,"johnny darter","Etheostoma nigrum",60,"WI","JOHNNY_DARTER",10,0.001,10,5.834,"HU4_55","0704","HU8_375","HU12_10297",2,1.002,"HW_stream"
2116498,44.4560087,-91.57937759,2001,53,NA,"brassy minnow","Hybognathus hankinsoni",4,"WI","BRASSY_MINNOW",10,0.001,10,5.834,"HU4_55","0704","HU8_375","HU12_10297",2,1.002,"HW_stream"
2116498,44.4560087,-91.57937759,2001,53,NA,"American brook Lamprey","Lethenteron appendix",2,"WI","AMERICAN_BROOK_LAMPREY",10,0.001,10,5.834,"HU4_55","0704","HU8_375","HU12_10297",2,1.002,"HW_stream"
2116498,44.4560087,-91.57937759,2001,53,NA,"fathead minnow","Pimephales promelas",132,"WI","FATHEAD_MINNOW",10,0.001,10,5.834,"HU4_55","0704","HU8_375","HU12_10297",2,1.002,"HW_stream"
2116498,44.4560087,-91.57937759,2001,53,NA,"blacknose dace","Rhinichthys atratulus",116,"WI","BLACKNOSE_DACE",10,0.001,10,5.834,"HU4_55","0704","HU8_375","HU12_10297",2,1.002,"HW_stream"
2116498,44.4560087,-91.57937759,2001,53,NA,"longnose dace","Rhinichthys cataractae",54,"WI","LONGNOSE_DACE",10,0.001,10,5.834,"HU4_55","0704","HU8_375","HU12_10297",2,1.002,"HW_stream"
2116498,44.4560087,-91.57937759,2001,53,NA,"brown trout","Salmo trutta",2,"WI","BROWN_TROUT",10,0.001,10,5.834,"HU4_55","0704","HU8_375","HU12_10297",2,1.002,"HW_stream"
2116498,44.4560087,-91.57937759,2001,53,NA,"creek chub","Semotilus atromaculatus",22,"WI","CREEK_CHUB",10,0.001,10,5.834,"HU4_55","0704","HU8_375","HU12_10297",2,1.002,"HW_stream"
2116460,44.4796258,-91.8154037,2001,28,NA,"blacknose dace","Rhinichthys atratulus",4,"WI","BLACKNOSE_DACE",2,0,2,1.974,"HU4_55","0704","HU8_375","HU12_10299",3,3.848,"MID_stream"
2116460,44.4796258,-91.8154037,2001,28,NA,"brook trout","Salvelinus fontinalis",8,"WI","BROOK_TROUT",2,0,2,1.974,"HU4_55","0704","HU8_375","HU12_10299",3,3.848,"MID_stream"
2116742,44.3921384,-91.8877895,2001,34,NA,"white sucker","Catostomus commersonii",16,"WI","WHITE_SUCKER",8,0.006,8,7.144,"HU4_55","0704","HU8_375","HU12_10301",2,2.757,"HW_stream"
2116742,44.3921384,-91.8877895,2001,34,NA,"northern pike","Esox lucius",8,"WI","NORTHERN_PIKE",8,0.006,8,7.144,"HU4_55","0704","HU8_375","HU12_10301",2,2.757,"HW_stream"
2116742,44.3921384,-91.8877895,2001,34,NA,"johnny darter","Etheostoma nigrum",6,"WI","JOHNNY_DARTER",8,0.006,8,7.144,"HU4_55","0704","HU8_375","HU12_10301",2,2.757,"HW_stream"
2116742,44.3921384,-91.8877895,2001,34,NA,"American brook Lamprey","Lethenteron appendix",2,"WI","AMERICAN_BROOK_LAMPREY",8,0.006,8,7.144,"HU4_55","0704","HU8_375","HU12_10301",2,2.757,"HW_stream"
2116742,44.3921384,-91.8877895,2001,34,NA,"weed shiner","Notropis texanus",2,"WI","WEED_SHINER",8,0.006,8,7.144,"HU4_55","0704","HU8_375","HU12_10301",2,2.757,"HW_stream"
2116742,44.3921384,-91.8877895,2001,34,NA,"longnose dace","Rhinichthys cataractae",6,"WI","LONGNOSE_DACE",8,0.006,8,7.144,"HU4_55","0704","HU8_375","HU12_10301",2,2.757,"HW_stream"
2116742,44.3921384,-91.8877895,2001,34,NA,"brown trout","Salmo trutta",10,"WI","BROWN_TROUT",8,0.006,8,7.144,"HU4_55","0704","HU8_375","HU12_10301",2,2.757,"HW_stream"
2116742,44.3921384,-91.8877895,2001,34,NA,"brook trout","Salvelinus fontinalis",10,"WI","BROOK_TROUT",8,0.006,8,7.144,"HU4_55","0704","HU8_375","HU12_10301",2,2.757,"HW_stream"
