"SITE_ID","SPP_CODE","TOTAL_COUNT","OBSERVED_RICH","EXPECTED_RICH","AREA_sqkm","CONN_CLASS","STATE","TYPE"
"13019825","BLUEGILL",32,11,11,NA,"HW_stream","MI","stream"
"13019825","BLUNTNOSE_MINNOW",4,11,11,NA,"HW_stream","MI","stream"
"13019825","BROWN_BULLHEAD",14,11,11,NA,"HW_stream","MI","stream"
"13019825","CENTRAL_STONEROLLER",2,11,11,NA,"HW_stream","MI","stream"
"13019825","COMMON_SHINER",36,11,11,NA,"HW_stream","MI","stream"
"13019825","CREEK_CHUB",16,11,11,NA,"HW_stream","MI","stream"
"13019825","GREEN_SUNFISH",2,11,11,NA,"HW_stream","MI","stream"
"13019825","JOHNNY_DARTER",10,11,11,NA,"HW_stream","MI","stream"
"13019825","LARGEMOUTH_BASS",18,11,11,NA,"HW_stream","MI","stream"
"13019825","PUMPKINSEED",4,11,11,NA,"HW_stream","MI","stream"
"13019825","WHITE_SUCKER",10,11,11,NA,"HW_stream","MI","stream"
"8991580","BROOK_TROUT",12,5,5,NA,"HW_stream","MI","stream"
"8991580","BROWN_TROUT",99,5,5,NA,"HW_stream","MI","stream"
"8991580","COHO_SALMON",9,5,5,NA,"HW_stream","MI","stream"
"8991580","PUMPKINSEED",3,5,5,NA,"HW_stream","MI","stream"
"8991580","RAINBOW_TROUT",216,5,5,NA,"HW_stream","MI","stream"
"8990078","ROCK_BASS",1,7,7.498,0.10243062,"MID_stream","MI","stream"
"8990078","WHITE_SUCKER",3,7,7.498,0.10243062,"MID_stream","MI","stream"
"8990078","COHO_SALMON",22,7,7.498,0.10243062,"MID_stream","MI","stream"
"8990078","RAINBOW_TROUT",154,7,7.498,0.10243062,"MID_stream","MI","stream"
"8990078","CHINOOK_SALMON",7,7,7.498,0.10243062,"MID_stream","MI","stream"
"8990078","BLACKNOSE_DACE",2,7,7.498,0.10243062,"MID_stream","MI","stream"
