"COMIDv2_JR","exp_rich","shannon"
9313703,3,1.656
9313711,2,2.01
9313723,3,2.91
9313819,8.243,6.253
9313845,2,2.016
9313847,7,5.913
9313851,2,1.835
9313877,3,1.445
9313913,4,2.78
9313937,2,1.889
9313951,2,2.005
9313961,2,1.825
9314019,3,2.982
9314021,4,3.078
9314025,5,2.279
9314047,7.991,2.743
9314053,5.489,2.665
9314055,11.973,4.502
9314063,5.985,3.218
9314079,4,3.548
9315607,3,2.271
9315717,3,2.586
9315719,3,2.516
9316769,7,6.236
9316807,8.995,2.213
9316813,3,3.234
9316901,9.496,5.702
9326354,7,4.758
9327714,18.486,6.623
9330146,2,2.007
9330404,13.479,4.47
9330536,6.488,4.291
9330568,2,1.962
9330602,2,1.13
9330604,7,4.494
9330708,6,5.066
9330710,12.453,4.59
9330714,4,3.015
9331302,8.498,3.509
9331392,20.163,3.185
9331576,25.956,8.317
9332538,20.996,8.704
9343719,2,1.461
11915999,10.981,3.948
11919825,29.216,15.551
11928802,16.983,7.937
11930214,6,3.503
11930334,3,1.554
11930690,3,1.209
11946997,14.998,5.377
11951401,5,4.04
11951427,8,2.948
12004537,12.996,5.726
12005305,11,7.162
12005315,8,5.855
12005891,6,3.532
12006333,7.495,4.4
12006683,6,4.653
12006745,22.247,5.33
12006833,16.998,2.296
12006881,18.999,2.229
12014046,14.498,9.617
12021302,3,2.288
12026122,9.499,3.485
12026202,5,5.353
12026264,3,1.944
12116608,10.998,2.842
12120316,17.489,5.837
12120656,15.49,9.215
12120716,33.858,8.912
12121130,2,1.079
12121180,5.992,2.268
12121834,29.406,9.614
12132378,6,2.259
12133354,10.996,3.916
12134858,14.234,5.706
12135384,8.486,7.267
12135536,24.943,6.586
12160880,10.994,4.21
12161554,6,3.587
12161576,10,5.067
12161606,9.985,2.596
12162024,20.913,5.849
12162040,11,2.869
12162044,15.498,6.839
12162052,10.99,4.928
12162064,9.981,5.032
12162082,31.994,8.883
12162090,22.493,9.748
12162114,10,5.497
12162136,10.999,2.974
12162352,6,5.247
12162358,10,4.171
12162360,12,7.019
12162522,13.986,7.567
12162534,33.894,14.112
12163422,24.993,6.02
12163534,10.976,6.07
12163572,13.98,7.395
12163628,10,5.157
12163664,5,3.542
12163710,15,7.936
12163760,12.989,5.297
12163784,11,6.817
12163788,11,7.623
12163840,9,7.056
12163858,11,5.053
12163872,12.663,5.773
12163876,15.972,3.486
12164098,9,6.409
12168983,13.499,6.729
12169011,5,3.165
12169025,14,7.83
12169241,7,3.452
12169261,5,3.27
12169273,12,6.252
12169275,18,4.503
12169279,9,6.566
12169281,12,8.122
12170137,9.498,4.091
12170151,2,1.075
12170157,7,3.619
12170165,8,4.827
12170205,13.981,6.677
12170359,9,4.603
12173224,25.246,10.951
12173278,12,8.043
12173292,7,4.964
12173364,22,6.193
12173380,19.472,9.318
12173404,4,2.255
12173408,14.989,9.973
12173442,23,5.003
12173450,14,8.784
12173474,20,8.025
12173476,15.961,9.825
12173484,27.492,14.243
12173490,7,3.554
12173558,12,6.544
12173610,6.999,2.312
12173896,10.991,3.136
12173954,14,9.328
12173956,28,5.68
12173966,12,6.079
12173968,10,4.839
12173986,12.998,6.123
12174022,21.976,7.07
12174248,8.986,4.823
12174250,25,9.686
12175264,19.986,7.757
12175328,4,2.732
12175346,7,5.453
12175378,24.986,7.41
12175398,11.988,5.339
12175446,7,4.638
12175472,20.25,10.397
12175488,19,9.193
12175546,9,5.165
12175550,7,3.335
12175556,13,6.563
12175566,19,8.898
12175596,25.999,10.745
12175630,17.992,9.167
12175642,11,3.432
12175824,12.25,4.977
12175838,5,1.945
12175874,20.587,11.994
12175880,6,2.421
12176744,14,9
12176770,13,7.636
12177220,14,10.718
12177444,16,6.737
